year;count;;;;;;
2002;7;;;;;;
2003;1;;;;;;
2005;29;;;;;;
2007;7;;;;;;
2008;18;;;;;;
2009;29;;;;;;
2010;46;;;;;;468
2011;64;;;;;;
2012;56;;;;;;3116
2013;106;;;;;;
2014;117;;658;;;;566%
2015;178;;;;;;
2016;224;;5948;;;;
2017;405;;;;;;
2018;534;;;;;;
2019;698;;;;;;
2020;825;;;;;;
2021;1114;;;;;;
2022;969;;;;;;
2023;1179;;;;;;
